code,name,latitude,longitude
DAKE,Dakhineswar Railway Station,22.6534841,88.36363519999999
BWN,Barddhaman Junction,23.2501746,87.8696234
GKH,Guskara Railway Station,23.4907314,87.73376
BHP,Bolpur Shantiniketan Railway Station,23.6582091,87.6985069
AMP,Ahmadpur Junction,23.8332016,87.6929867
SNT,Sainthia Railway Station,23.9504788,87.6810269
RPH,Rampur Hat Railway Station,24.179797,87.78214700000001
NHT,Nalhati Junction,24.2957126,87.8387385
PKR,Pakur Railway Station,24.6380383,87.8557741
DLK,Dalkolha Railway Station,25.873416,87.83887700000001
KNE,Kishanganj Railway Station,26.097746,87.949657
AUB,Aluabari Road Railway Station,26.2692858,88.1851988999999
NJP,New Jalpaiguri Railway Station,26.683025,88.443391
JPE,Jalpaiguri Road Railway Station,26.5591635,88.7091671
NMX,New Maynaguri Railway Station,26.5784631,88.822882
DQG,Dhupguri Railway Station,26.5742414,88.993878
FLK,Falakata Railway Station,26.5391295,89.1912221
NCB,New Cooch Behar Railway Station,26.3528017,89.4688034
DHH,Dinhata Railway Station,26.1237965,89.4681179
BXT,Bamanhat Railway Station,26.0707786,89.5868471
KJM,Krishnarajapuram Railway Station,13.0006295,77.6753238
BWT,Bangarapet Railway Station,12.9846952,78.1784679
KPN,Kuppam Railway Station,12.7473075,78.3399271
WJR,Walajah Road Railway Station,12.9709293,79.3608965
SHU,Sholinghur Railway Station,13.0140861,79.4866553
PKW,Pilkhua Railway Station,28.712335,77.668008
HPU,Hapur Railway Station,28.7391871,77.7786601
AMRO,Amroha Railway Station,28.8925147,78.4756415
CH,Chandausi Junction,28.4588084,78.7796315
AO,Aonla Railway Station,28.29596,79.16909
HRI,Hardoi Railway Station,27.400007,80.147203
AMG,Alamnagar Railway Station,26.8414218,80.8679006
RDL,Rudauli Railway Station,26.7626969,81.754093
AYC,Ayodhya Cantt.,26.768117,82.131833
AY,Ayodhya Railway Station,26.7883908,82.200885
GGJ,Goshainganj Railway Station,26.5700842,82.3845282
ABP,Akbarpur Railway Station,26.4292167,82.5400585
SHG,Shahganj Junction,26.0611528,82.6799077
JNU,Jaunpur Junction,25.7614209,82.6992568
BCY,Varanasi City Railway Station,25.3343591,83.014264
ARJ,Aunrihar Junction,25.5451152,83.1877568
GCT,Ghazipur City Railway Station,25.5834015,83.5671974
YFP,Yusufpur Railway Station,25.6365405,83.7474311
BUI,Ballia Railway Station,25.7593121,84.1483581
SIP,Suraimanpur Railway Station,25.8082003,84.4810524
SMI,Sitamarhi Railway Station,26.5948642,85.504527
RXL,Raxaul Junction,26.9867431,84.8447685
UBL,Hubli Junction,15.3500584,75.1493127
HVR,Haveri Railway Station,14.7946,75.4113
RNR,Ranibennur Railway Station,14.6258976,75.6357331
HRR,Harihar Railway Station,14.5154453,75.8110604
DVG,Davangere Railway Station,14.468265,75.91957
