third_ac,arrival,from_station_code,name,zone,chair_car,first_class,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,classes,to_station_name,type,first_ac,distance,duration
0,20:35:00,CSTM,Mumbai Aurangabad Jan Shatabdi,SCR,1,0,0,MUMBAI CST,12071,13:50:00,12072,AWB,0,,AURANGABAD,JShtb,0,374.0,6.75
0,13:35:00,MAS,Chennai Vijayawada Jan Shatabdi Express,SR,1,0,0,CHENNAI CENTRAL,12077,07:00:00,12078,BZA,0,,VIJAYAWADA JN,JShtb,0,431.0,6.583333313465118
1,09:05:00,JBP,JABALPUR - DELHI H NIZAMUDDIN S Kranti Exp,WCR,0,0,1,JABALPUR,12121,19:10:00,12122,NZM,1,,DELHI H NIZAMUDDIN,SKr,1,909.0,13.916666686534882
1,15:30:00,PPTA,PATLIPUTRA - MUMBAI LTT SF Exp,CR,0,0,1,PATLIPUTRA,12142,10:40:00,12141,LTT,1,,LOKMANYA TILAK TERM,SF,0,1714.0,28.83333331346512
1,07:35:00,NDLS,Sampoorna Kranti Express,ER,0,0,1,NEW DELHI,12394,17:30:00,12393,RJPB,1,,RAJENDRA NAGAR BIHAR,SF,1,1001.0,14.08333333581686
1,10:00:00,GKP,Gorakhdham Express,NER,0,0,1,GORAKHPUR JN,12555,16:35:00,12556,HSR,1,,Hisar,SF,1,962.0,17.41666665673256
1,12:40:00,YPR,Yesvantapur Kochuveli Garib Rath Express,SWR,0,0,0,YESVANTPUR JN,12257,21:00:00,12258,KCVL,0,,KOCHUVELI,GR,0,808.0,15.666666686534882
1,19:30:00,ERS,ERNAKULAM - DELHI H NIZAMUDDIN Duronto Exp,NR,0,0,1,ERNAKULAM JN,12283,23:30:00,12284,NZM,1,,DELHI H NIZAMUDDIN,Drnt,1,2943.0,44.0
1,07:30:00,PURI,PURI - MUMBAI LTT SF Exp,CR,0,0,1,PURI,12146,23:05:00,12145,LTT,1,,LOKMANYA TILAK TERM,SF,0,1818.0,32.41666665673256
1,16:50:00,SDAH,KOLKATA SEALDAH - AMRITSAR Akal Takht Exp,ER,0,0,1,KOLKATA SEALDAH,12317,07:40:00,12318,ASR,1,,AMRITSAR JN,SF,0,1898.0,33.16666667163372
1,09:05:00,KCVL,Kochuveli-Yesvantpur Garib Rath,SWR,0,0,0,KOCHUVELI,12258,16:35:00,12257,YPR,0,,YESVANTPUR JN,GR,0,808.0,16.5
1,07:05:00,LTT,MUMBAI LTT - VARANASI Ratnagiri Exp,CR,0,0,1,LOKMANYA TILAK TERM,12165,05:20:00,12166,BSB,1,,VARANASI JN,SF,0,1483.0,25.75
1,14:00:00,NZM,Hazrat Nizamuddin-Secunderabad Duronto Express,SCR,0,0,1,DELHI H NIZAMUDDIN,12286,15:50:00,12285,SC,1,,SECUNDERABAD JN,Drnt,1,1660.0,22.16666667163372
1,15:20:00,RJPB,RajendraNagar-Ajmer Ibadat Express,ER,0,0,1,RAJENDRA NAGAR BIHAR,12395,18:45:00,12396,AII,1,,AJMER JN,SF,0,1305.0,20.58333331346512
1,11:15:00,BCT,Mumbai Central- Indore Duronto Express,WR,0,0,0,Mumbai Central,12227,23:15:00,12228,INDB,1,,INDORE JN BG,Drnt,1,829.0,12.0
1,07:15:00,PUNE,Pune - Hazrat Nizamuddin AC Duronto Express,NR,0,0,0,PUNE JN,12263,11:10:00,12264,NZM,1,,DELHI H NIZAMUDDIN,Drnt,1,1520.0,20.08333333581686
1,12:30:00,DBG,Swatantrata Sainani Express,ECR,0,0,1,DARBHANGA JN,12561,15:30:00,12562,NDLS,1,,NEW DELHI,SF,1,1166.0,21.0
