third_ac,arrival,from_station_code,name,zone,chair_car,first_class,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,classes,to_station_name,type,first_ac,distance,duration
1,21:30:00,NJP,New Jalpaiguri Ajmer Weekly Express,NWR,0,0,1,NEW JALPAIGURI,19602,08:15:00,19601,AII,1,,AJMER JN,Exp,0,1936.0,37.25
1,11:25:00,JP,Jaipur-Bhopal Express,NWR,0,0,1,JAIPUR,19711,17:35:00,19712,BPL,1,,BHOPAL JN,Exp,0,790.0,17.83333331346512
1,09:25:00,BPL,Bhopal Jaipur Express,NWR,0,0,1,BHOPAL JN,19712,16:50:00,19711,JP,1,,JAIPUR,Exp,0,790.0,16.58333331346512
1,21:35:00,ASR,Jallianwalabagh Express,SER,0,0,1,AMRITSAR JN,18104,12:40:00,18103,TATA,1,,TATANAGAR JN,Exp,0,1745.0,32.91666668653488
0,21:00:00,RGDA,Sambalpur Express,ECoR,1,0,0,RAYAGADA,18302,14:30:00,18301,SBP,0,,SAMBALPUR,Exp,0,322.0,6.5
1,12:45:00,SBP,SAMBALPUR - PURI Intercity Exp,ECoR,1,0,0,SAMBALPUR,18303,06:10:00,18304,PURI,0,,PURI,Exp,0,341.0,6.583333313465118
0,21:20:00,HBJ,Habibganj Indore InterCity Express,WR,1,0,0,HABIBGANJ,19324,17:10:00,19323,INDB,0,,INDORE JN BG,Exp,0,224.0,4.16666667163372
1,20:45:00,INDB,Indore Amritsar (Weekly) Express,WR,0,0,1,INDORE JN BG,19325,17:30:00,19326,ASR,1,,AMRITSAR JN,Exp,0,1344.0,27.25
1,05:20:00,ASR,Amritsar Indore Express,WR,0,0,1,AMRITSAR JN,19326,04:40:00,19325,INDB,1,,INDORE JN BG,Exp,0,1337.0,24.66666668653488
1,00:50:00,TN,TUTICORIN - OKHA Exp,WR,0,0,1,TUTICORIN,19567,02:00:00,19568,OKHA,1,,OKHA,Exp,0,2535.0,46.83333331346512
1,03:45:00,OKHA,OKHA - TUTICORIN Exp,WR,0,0,1,OKHA,19568,00:20:00,19567,TN,1,,TUTICORIN,Exp,0,2548.0,51.41666665673256
1,10:35:00,INDB,Indore Bhind Express,WR,0,0,1,INDORE JN BG,21125,20:15:00,21126,BIX,1,,BHIND,Exp,0,644.0,14.33333334326744
1,07:50:00,BIX,Bhind Indore Express,WR,0,0,1,BHIND,21126,17:10:00,21125,INDB,1,,INDORE JN BG,Exp,0,644.0,14.666666686534882
1,19:20:00,PUNE,PUNE - MANDUADIH Gyan Ganga Exp,CR,0,0,1,PUNE JN,22131,16:15:00,22132,MUV,1,,MANDUADIH,SF,0,1537.0,27.08333333581686
1,08:05:00,MUV,MANDUADIH - PUNE Gyan Ganga Exp,CR,0,0,1,MANDUADIH,22132,04:35:00,22131,PUNE,1,,PUNE JN,SF,0,1537.0,27.5
0,10:05:00,DMO,Damoh Bhopal Rajya Rani Express,WCR,1,0,0,DAMOH,22162,05:00:00,22161,BPL,0,,BHOPAL JN,Exp,0,291.0,5.08333333581686
1,08:15:00,ANVT,Anand ViharT Delhi-Sasaram GaribRath Express,NR,0,0,0,ANAND VIHAR TRM,22410,19:15:00,22409,SSM,0,,SASARAM,GR,0,874.0,13.0
1,11:30:00,MAS,CHENNAI CENT - SAINAGAR SHIRDI SF Exp,SR,0,0,1,CHENNAI CENTRAL,22601,10:10:00,22602,SNSI,1,,SAINAGAR SHIRDI,SF,0,1392.0,25.33333334326744
1,05:15:00,MYS,MYSORE - CHENNAI Weekly SF Exp,SWR,0,0,1,MYSORE JN,22681,20:10:00,22682,MAS,1,,CHENNAI CENTRAL,SF,0,500.0,9.08333333581686
1,08:35:00,MAS,CHENNAI - MYSORE Weekly SF Exp,SWR,0,0,1,CHENNAI CENTRAL,22682,23:30:00,22681,MYS,1,,MYSORE JN,SF,0,500.0,9.08333333581686
1,10:35:00,BBS,Bhubaneshwar-New Delhi Rajdhani Express,ECoR,0,0,0,BHUBANESWAR,22811,11:30:00,22812,NDLS,1,,NEW DELHI,Raj,1,1724.0,23.08333333581686
1,16:00:00,NDLS,New Delhi-Bhubaneswar Rajdhani Express,ECoR,0,0,0,NEW DELHI,22812,17:20:00,22811,BBS,1,,BHUBANESWAR,Raj,1,1724.0,22.66666668653488
1,05:55:00,SHM,Shalimar-Puri Express,SER,0,0,1,KOLKATA SHALIMAR,22835,21:00:00,22836,PURI,1,,PURI,SF,0,500.0,8.916666686534882
1,07:20:00,PURI,Puri-Shalimar weekly superfast express,SER,0,0,1,PURI,22836,22:15:00,22835,SHM,1,,KOLKATA SHALIMAR,SF,0,500.0,9.08333333581686
1,17:10:00,PUNE,PUNE - HATIA SF Exp,SER,0,0,1,PUNE JN,22845,10:45:00,22846,HTE,1,,HATIA,Exp,0,1774.0,30.41666665673256
1,02:45:00,HTE,HATIA - PUNE SF Exp,SER,0,0,1,HATIA,22846,20:00:00,22845,PUNE,1,,PUNE JN,SF,0,1774.0,30.75
1,18:00:00,SRC,Santragachi-Tirupati Superfast Express,SER,0,0,1,SANTRAGACHI JN,22855,16:05:00,22856,TPTY,1,,TIRUPATI MAIN,SF,0,1597.0,25.91666668653488
1,11:50:00,SSM,Sasaram-Anand ViharT Delhi GariRath Express,NR,0,0,0,SASARAM,22409,21:15:00,22410,ANVT,0,,ANAND VIHAR TRM,GR,0,874.0,14.583333313465118
0,18:15:00,MAQ,Mangalore - Palghat Intercity Express,SR,1,0,0,MANGALORE CNTL,22609,12:00:00,22610,PGT,0,,PALAKKAD,SF,0,352.0,6.25
0,13:40:00,PGT,Palghat Mangalore Intercity,SR,1,0,0,PALAKKAD,22610,07:25:00,22609,MAQ,0,,MANGALORE CNTL,Exp,0,352.0,6.25
1,21:35:00,BSP,Bilaspur-Ernakulam Express,SECR,0,0,1,BILASPUR JN,22815,08:10:00,22816,ERS,1,,ERNAKULAM JN,SF,0,2155.0,37.41666665673256
1,21:35:00,ERS,Ernakulam-Bilaspur Express,SECR,0,0,1,ERNAKULAM JN,22816,08:30:00,22815,BSP,1,,BILASPUR JN,SF,0,2156.0,37.08333333581686
1,08:20:00,SHM,Kolkata Shalimar-Visakhapatnam Superfast express,SER,0,0,1,KOLKATA SHALIMAR,22853,18:15:00,22854,VSKP,1,,VISHAKAPATNAM,SF,0,880.0,14.08333333581686
1,03:30:00,VSKP,Visakhapatnam-Shalimar Express,SER,0,0,1,VISHAKAPATNAM,22854,13:45:00,22853,SHM,1,,KOLKATA SHALIMAR,SF,0,880.0,13.75
