station,week,month,month_3,month_6,year,train_number,station_code
SASARAM (SSM),112,93,147,129,86,12802,SSM
DEHRI ON SONE (DOS),114,96,150,133,89,12802,DOS
ANUGRAHA N ROAD (AUBR),110,94,149,132,89,12802,AUBR
GAYA JN (GAYA),110,89,144,128,84,12802,GAYA
PAHARPUR (PRP),105,83,139,122,77,12802,PRP
KODERMA (KQR),112,89,144,130,84,12802,KQR
HAZARIBAGH RD (HZD),115,100,151,137,90,12802,HZD
PARASNATH (PNME),120,102,154,140,91,12802,PNME
NSC BOSE J GOMO (GMO),101,85,138,124,78,12802,GMO
CHANDRAPURA (CRP),111,93,144,130,82,12802,CRP
BOKARO STL CITY (BKSC),92,76,129,114,68,12802,BKSC
PURULIA JN (PRR),96,75,121,108,65,12802,PRR
TATANAGAR JN (TATA),91,79,122,108,63,12802,TATA
GHATSILA (GTS),105,95,133,117,71,12802,GTS
HIJILLI (HIJ),91,79,116,102,62,12802,HIJ
BALASORE (BLS),81,73,110,98,61,12802,BLS
BHADRAKH (BHC),74,70,106,94,59,12802,BHC
JAJPUR K ROAD (JJKR),75,70,106,93,59,12802,JJKR
CUTTACK (CTC),85,81,120,108,72,12802,CTC
BHUBANESWAR (BBS),91,87,123,110,74,12802,BBS
KHURDA ROAD JN (KUR),92,91,127,114,79,12802,KUR
PURI (PURI),65,61,105,91,57,12802,PURI
VISHAKAPATNAM (VSKP),1,1,2,4,5,12805,VSKP
DUVVADA (DVD),2,1,3,5,6,12805,DVD
ANAKAPALLE (AKP),12,10,13,13,12,12805,AKP
ELLAMANCHILI (YLM),14,16,19,19,16,12805,YLM
TUNI (TUNI),18,21,24,24,21,12805,TUNI
ANNAVARAM (ANV),21,23,27,26,24,12805,ANV
SAMALKOT JN (SLO),23,25,30,31,29,12805,SLO
RAJAMUNDRY (RJY),25,31,37,40,36,12805,RJY
TADEPALLIGUDEM (TDD),35,42,48,52,46,12805,TDD
ELURU (EE),33,39,47,52,46,12805,EE
NUZVID (NZD),35,42,51,56,50,12805,NZD
VIJAYAWADA JN (BZA),36,39,50,55,49,12805,BZA
TENALI JN (TEL),35,39,51,55,50,12805,TEL
GUNTUR JN (GNT),45,50,65,69,61,12805,GNT
SATTENAPALLE (SAP),50,54,70,74,69,12805,SAP
PIDUGURALLA (PGRL),59,66,77,80,72,12805,PGRL
NADIKODE (NDKD),63,71,83,88,78,12805,NDKD
MIRYALAGUDA (MRGA),72,81,97,99,88,12805,MRGA
NALGONDA (NLDA),77,85,100,104,93,12805,NLDA
RAMANNAPET (RMNP),78,88,103,109,101,12805,RMNP
SECUNDERABAD JN (SC),61,79,96,105,96,12805,SC
BEGAMPET (BMT),49,71,87,98,88,12805,BMT
LINGAMPALLI (LPI),34,25,38,35,24,12805,LPI
LINGAMPALLI (LPI),1,0,0,1,4,12806,LPI
BEGAMPET (BMT),1,1,0,1,5,12806,BMT
SECUNDERABAD JN (SC),8,3,1,3,10,12806,SC
RAMANNAPET (RMNP),10,16,21,20,20,12806,RMNP
NALGONDA (NLDA),24,27,33,31,35,12806,NLDA
MIRYALAGUDA (MRGA),31,36,42,43,44,12806,MRGA
NADIKODE (NDKD),36,42,50,49,49,12806,NDKD
PIDUGURALLA (PGRL),36,43,52,53,51,12806,PGRL
SATTENAPALLE (SAP),50,53,58,58,55,12806,SAP
GUNTUR JN (GNT),21,28,40,38,32,12806,GNT
TENALI JN (TEL),11,17,28,27,22,12806,TEL
VIJAYAWADA JN (BZA),21,26,33,32,28,12806,BZA
NUZVID (NZD),29,39,43,42,38,12806,NZD
ELURU (EE),27,37,43,42,37,12806,EE
TADEPALLIGUDEM (TDD),30,40,45,47,41,12806,TDD
RAJAMUNDRY (RJY),40,51,59,64,57,12806,RJY
SAMALKOT JN (SLO),40,54,65,70,63,12806,SLO
ANNAVARAM (ANV),40,55,70,75,66,12806,ANV
TUNI (TUNI),43,57,73,78,69,12806,TUNI
ELLAMANCHILI (YLM),37,50,68,73,64,12806,YLM
ANAKAPALLE (AKP),33,43,61,64,55,12806,AKP
DUVVADA (DVD),29,45,57,60,54,12806,DVD
VISHAKAPATNAM (VSKP),25,36,47,53,45,12806,VSKP
VISHAKAPATNAM (VSKP),13,8,9,9,10,12807,VSKP
SIMHACHALAM (SCM),13,8,9,9,10,12807,SCM
VIZIANAGRAM JN (VZM),20,19,19,15,12,12807,VZM
BOBBILI (VBL),28,32,28,23,17,12807,VBL
PARVATIPURAM (PVP),21,23,20,14,12,12807,PVP
PARVATIPURAM TN (PVPT),21,23,20,14,12,12807,PVPT
RAYAGADA (RGDA),20,20,19,15,14,12807,RGDA
MUNIGUDA (MNGD),35,36,35,34,34,12807,MNGD
KESINGA (KSNG),49,49,49,50,50,12807,KSNG
TITLAGARH (TIG),49,50,49,51,51,12807,TIG
KANTABANJI (KBJ),41,46,46,49,48,12807,KBJ
HARISHANKER RD (HSK),35,42,41,44,44,12807,HSK
KHARIAR ROAD (KRAR),31,40,39,44,44,12807,KRAR
BAGBAHRA (BGBR),28,38,38,42,43,12807,BGBR
MAHASAMUND (MSMD),24,33,33,38,40,12807,MSMD
RAIPUR JN (R),10,14,18,21,27,12807,R
DURG (DURG),5,8,14,17,24,12807,DURG
RAJ NANDGAON (RJN),17,21,33,37,42,12807,RJN
DONGARGARH (DGG),22,40,50,52,60,12807,DGG
GONDIA JN (G),44,68,69,69,75,12807,G
TUMSAR ROAD (TMR),50,82,85,80,85,12807,TMR
BHANDARA ROAD (BRD),51,84,90,86,88,12807,BRD
NAGPUR (NGP),55,92,105,110,109,12807,NGP
MULTAI (MTY),68,116,133,135,135,12807,MTY
BETUL (BZU),69,117,137,141,139,12807,BZU
ITARSI JN (ET),39,81,100,102,101,12807,ET
BHOPAL JN (BPL),28,86,107,112,111,12807,BPL
BINA JN (BINA),24,81,103,108,105,12807,BINA
LALITPUR (LAR),36,93,116,128,118,12807,LAR
V LAKSHMIBAI JHANSI (VGLJ),7,7,7,7,7,12807,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),61,101,122,133,119,12807,VGLB
GWALIOR (GWL),73,115,138,150,137,12807,GWL
AGRA CANTT (AGC),32,81,116,127,116,12807,AGC
RAJA KI MANDI (RKM),34,85,120,130,118,12807,RKM
MATHURA JN (MTJ),48,114,140,144,125,12807,MTJ
FARIDABAD (FDB),27,92,120,121,103,12807,FDB
H NIZAMUDDIN (NZM),24,81,111,114,97,12807,NZM
H NIZAMUDDIN (NZM),1,1,7,6,11,12808,NZM
MATHURA JN (MTJ),21,22,42,38,30,12808,MTJ
RAJA KI MANDI (RKM),32,35,58,50,36,12808,RKM
AGRA CANTT (AGC),33,36,60,52,37,12808,AGC
GWALIOR (GWL),17,19,57,46,36,12808,GWL
V LAKSHMIBAI JHANSI (VGLJ),20,20,20,20,20,12808,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),14,19,61,48,37,12808,VGLB
LALITPUR (LAR),11,8,59,44,39,12808,LAR
BINA JN (BINA),9,8,62,45,36,12808,BINA
BHOPAL JN (BPL),6,7,61,45,37,12808,BPL
ITARSI JN (ET),11,10,61,44,40,12808,ET
BETUL (BZU),15,11,63,47,40,12808,BZU
MULTAI (MTY),15,14,68,52,46,12808,MTY
NAGPUR (NGP),4,3,51,36,30,12808,NGP
BHANDARA ROAD (BRD),10,9,70,53,47,12808,BRD
TUMSAR ROAD (TMR),9,12,71,55,50,12808,TMR
GONDIA JN (G),22,35,90,76,67,12808,G
DONGARGARH (DGG),27,50,102,86,78,12808,DGG
RAJ NANDGAON (RJN),56,61,110,95,83,12808,RJN
DURG (DURG),55,55,100,84,70,12808,DURG
RAIPUR JN (R),56,58,107,90,77,12808,R
MAHASAMUND (MSMD),47,51,102,88,79,12808,MSMD
BAGBAHRA (BGBR),51,54,106,90,80,12808,BGBR
KHARIAR ROAD (KRAR),51,57,107,90,80,12808,KRAR
HARISHANKER RD (HSK),48,58,109,92,82,12808,HSK
KANTABANJI (KBJ),47,57,108,92,84,12808,KBJ
TITLAGARH (TIG),41,51,102,86,78,12808,TIG
KESINGA (KSNG),39,48,99,83,76,12808,KSNG
MUNIGUDA (MNGD),60,69,117,101,92,12808,MNGD
RAYAGADA (RGDA),44,50,100,84,73,12808,RGDA
PARVATIPURAM TN (PVPT),44,50,100,84,73,12808,PVPT
PARVATIPURAM (PVP),49,50,99,82,70,12808,PVP
BOBBILI (VBL),46,51,100,82,68,12808,VBL
VIZIANAGRAM JN (VZM),66,63,108,90,78,12808,VZM
SIMHACHALAM (SCM),78,65,107,101,86,12808,SCM
VISHAKAPATNAM (VSKP),73,59,97,90,78,12808,VSKP
C SHIVAJI TERM MUMBAI (CSMT),1,1,3,5,6,12809,CSMT
DADAR (DR),3,4,5,7,10,12809,DR
THANE (TNA),6,6,7,10,12,12809,TNA
KALYAN JN (KYN),14,12,12,14,16,12809,KYN
KASARA (KSRA),19,19,24,27,27,12809,KSRA
NASIK ROAD (NK),17,20,23,26,27,12809,NK
MANMAD JN (MMR),16,18,22,23,25,12809,MMR
CHALISGAON JN (CSN),9,19,23,25,26,12809,CSN
JALGAON JN (JL),14,27,26,27,27,12809,JL
BHUSAVAL JN (BSL),17,25,23,24,24,12809,BSL
MALKAPUR (MKU),20,28,24,26,26,12809,MKU
NANDURA (NN),19,30,26,28,26,12809,NN
SHEGAON (SEG),27,38,33,35,32,12809,SEG
AKOLA JN (AK),14,32,31,32,29,12809,AK
MURTAJAPUR (MZR),13,30,27,29,26,12809,MZR
BADNERA JN (BD),1,15,12,15,15,12809,BD
DHAMANGAON (DMN),2,17,15,18,16,12809,DMN
PULGAON JN (PLO),6,21,20,23,21,12809,PLO
WARDHA JN (WR),12,27,26,29,25,12809,WR
NAGPUR (NGP),2,14,14,19,16,12809,NGP
BHANDARA ROAD (BRD),11,17,20,25,20,12809,BRD
TUMSAR ROAD (TMR),11,16,19,24,19,12809,TMR
GONDIA JN (G),10,21,25,29,25,12809,G
DONGARGARH (DGG),28,32,32,36,36,12809,DGG
RAJ NANDGAON (RJN),30,48,45,48,44,12809,RJN
DURG (DURG),26,55,47,48,44,12809,DURG
RAIPUR JN (R),29,64,57,57,52,12809,R
